CdStationHydro;LbStationHydro;Lng;Lat
J7353010;Le Meu a Montfort-sur-Meu [L'Abbaye];-1.94423;48.128463
J7355010;Le Serein a Treffendel;-2.033606;48.048227
J7356010;Le Careil a Monterfil;-1.986058;48.058691
J7364210;La Cheze a Saint-Thurial;-1.950626;48.02579
J7364220;La Cheze a Plelan-le-Grand [Enlevrier];-2.039934;48.008821
J7373110;La Vaunoise a Saint-Gilles;-1.854199;48.139729
J7483010;La Seiche a Bruz [Carce];-1.72225;48.019507
J7500610;La Vilaine a Guichen [Le Boel];-1.754494;47.992954
J7513010;Le Canut Nord a Maxent;-1.993525;47.995309
J7523010;Le Canut Nord a Lassy [le Val];-1.855096;47.962736
J7523020;Le Canut Nord a Lassy [Pont de Lassy];-1.879161;47.957827
J7633010;Le Semnon a Bain-de-Bretagne;-1.629837;47.860236
J7700610;La Vilaine a Guipry [Malon];-1.840832;47.796889
J7803020;La Chere a Chateaubriant [Bere];-1.389691;47.718915
J7824010;L'Aron a Grand-Fougeray [Bernardais];-1.69224;47.712578
J7833010;La Chere a Pierric;-1.732347;47.701564
J7833020;La Chere a Derval [Pont RN 137];-1.703474;47.700481
J7953010;Le Don a Conquereuil [Les Rivieres];-1.74775;47.616122
J7963010;Le Don a Guemene-Penfao [Juzet];-1.789096;47.622982
J7973010;Le Canut Sud a Saint-Just;-1.979386;47.775986
J8002310;L'Oust a Saint-Martin-des-Pres;-2.965289;48.321663
J8022310;L'Oust a Hemonstoir;-2.816096;48.159808
J8133010;Le Lie a la Prenessaye;-2.622586;48.201916
J8143010;Le Lie a Plumieux [Pont de la Fosse];-2.651816;48.112731
J8202310;L'Oust a Pleugriffet [La Tertraie];-2.640219;47.98514
J8333010;Le Ninian a Taupont;-2.461783;47.938092
J8363110;L'Yvel a Loyat;-2.368826;47.994575
J8433010;La Claie a Saint-Jean-Brevelay;-2.702894;47.825779
J8502310;L'Oust a Saint-Grave [Le Guelin];-2.256469;47.739341
J8602410;L'Aff a Paimpont;-2.14324;47.982555
J8632410;L'Aff a Quelneuc;-2.073796;47.829072
J8653010;Le Combs a Maure-de-Bretagne;-1.954638;47.876489
J8813010;L'Arz a Molac;-2.431756;47.716882
J8823010;L'Arz a Pluherlin [Pont d'Arz];-2.337364;47.710703
J9124410;Le Perche [Ruis de Clegreuc] au Gavre [le Bas-Luc];-1.745654;47.550934
J9202510;L'Isac a Guenrouet [Melneuf];-1.922693;47.497419
J9300610;La Vilaine a Rieux;-2.125835;47.580142
J9320620;La Vilaine a Arzal [Maregraphe];-2.382167;47.500434
